payment_id,payment_method,payment_status,payment_amount
1001_1,Amex,Paid,699.0
1002_1,MasterCard,Pending,528.0
1003_1,Visa,Paid,176.0
1004_1,Discover,Pending,227.0
1005_1,MasterCard,Pending,458.0
1006_1,MasterCard,Pending,217.0
1007_1,MasterCard,Paid,710.0
1008_1,Discover,Paid,980.0
1009_1,Amex,Paid,726.0
1010_1,Discover,Paid,68.0
1011_1,Visa,Pending,432.0
1012_1,Visa,Paid,127.0
1013_1,Amex,Pending,500.0
1014_1,MasterCard,Paid,980.0
1015_1,Cash,Paid,396.0
1016_1,Cash,Paid,1190.0
1017_1,MasterCard,Paid,242.0
1018_1,Amex,Pending,120.0
1019_1,Visa,Pending,880.0
1020_1,Amex,Pending,340.0
1021_1,Amex,Pending,600.0
1022_1,Amex,Paid,492.0
1023_1,Cash,Pending,678.0
1024_1,Visa,Paid,592.0
1025_1,Discover,Paid,222.0
1026_1,Amex,Paid,996.0
1027_1,MasterCard,Paid,635.0
1028_1,Visa,Pending,244.0
1029_1,Amex,Pending,414.0
1030_1,MasterCard,Paid,1120.0
1031_1,Discover,Paid,681.0
1032_1,MasterCard,Paid,124.0
1033_1,Discover,Pending,1175.0
1034_1,Visa,Pending,206.0
1035_1,Discover,Pending,140.0
1036_1,MasterCard,Pending,276.0
1037_1,Cash,Paid,486.0
1038_1,Visa,Paid,128.0
1039_1,Cash,Pending,234.0
1040_1,Cash,Paid,711.0
1041_1,MasterCard,Paid,89.0
1042_1,MasterCard,Pending,429.0
1043_1,Visa,Paid,222.0
1044_1,Amex,Paid,156.0
1045_1,Cash,Pending,65.0
1046_1,MasterCard,Pending,832.0
1047_1,MasterCard,Paid,435.0
1048_1,Visa,Pending,232.0
1049_1,Visa,Pending,1160.0
1050_1,Visa,Pending,201.0
1051_1,Amex,Pending,222.0
1052_1,Discover,Paid,231.0
1053_1,Cash,Paid,128.0
1054_1,Cash,Pending,86.0
1055_1,Discover,Paid,630.0
1056_1,Discover,Pending,335.0
1057_1,MasterCard,Pending,480.0
1058_1,MasterCard,Pending,395.0
